./tests/run_tests.sh
[SKIP] test_func.c: EXPECT コメントなし
[PASS] test210.c (文字定数) => 10
[PASS] test211.c (文字定数) => 9
[PASS] test212.c (文字定数) => 13
[PASS] test213.c (文字定数) => 0
[PASS] test214.c (文字定数) => 92
[PASS] test215.c (文字定数) => 39
[PASS] test216.c (文字定数) => 65
[PASS] test217.c (文字定数) => 97
[PASS] test218.c (文字定数) => 1
[PASS] test219.c (文字定数) => 25
[PASS] test220.c (文字定数) => 194
[PASS] test221.c (文字定数) => 1
[PASS] test222.c (文字定数) => 1
[PASS] test223.c (文字定数) => 0
[PASS] test224.c (文字定数) => 1
[PASS] test225.c (文字定数) => 1
[PASS] test226.c (文字定数) => 0
[PASS] test227.c (文字定数) => 97
[PASS] test228.c (文字定数) => 3
[PASS] test229.c (文字定数) => 5
[PASS] test230.c (文字列リテラル) => 0
[PASS] test231.c (文字列リテラル) => 104
[PASS] test232.c (文字列リテラル) => 104
[PASS] test233.c (文字列リテラル) => 101
[PASS] test234.c (文字列リテラル) => 111
[PASS] test235.c (文字列リテラル) => 104
[PASS] test236.c (文字列リテラル) => 101
[PASS] test237.c (文字列リテラル) => 120
[PASS] test238.c (文字列リテラル) => 97
[PASS] test239.c (文字列リテラル) => 1
[PASS] test240.c (文字列リテラル) => 1
[PASS] test241.c (文字列リテラル) => 104
[PASS] test242.c (文字列リテラル) => 119
[PASS] test243.c (文字列リテラル) => 111
[PASS] test244.c (文字列リテラル) => 0
[PASS] test245.c (文字列リテラル) => 5
[PASS] test246.c (文字列リテラル) => 5
[PASS] test247.c (論理否定演算子 !) => 1
[PASS] test248.c (論理否定演算子 !) => 0
[PASS] test249.c (論理否定演算子 !) => 0
[PASS] test250.c (論理否定演算子 !) => 1
[PASS] test251.c (論理否定演算子 !) => 0
[PASS] test252.c (論理否定演算子 !) => 1
[PASS] test253.c (論理否定演算子 !) => 0
[PASS] test254.c (論理否定演算子 !) => 0
[PASS] test255.c (論理否定演算子 !) => 10
[PASS] test256.c (論理否定演算子 !) => 20
[PASS] test257.c (論理否定演算子 !) => 5
[PASS] test258.c (論理否定演算子 !) => 1
[PASS] test259.c (論理否定演算子 !) => 1
[PASS] test260.c (論理否定演算子 !) => 2
[PASS] test261.c (論理否定演算子 !) => 1
[PASS] test262.c (論理否定演算子 !) => 1
[PASS] test263.c (論理否定演算子 !) => 0
[PASS] test264.c (論理否定演算子 !) => 0
[PASS] test265.c (論理否定演算子 !) => 1
[PASS] test266.c (関数ごとのスコープ（同名ローカル変数）) => 30
[PASS] test267.c (関数ごとのスコープ（同名ローカル変数）) => 15
[PASS] test268.c (関数ごとのスコープ（同名ローカル変数）) => 6
[PASS] test269.c (関数ごとのスコープ（同名ローカル変数）) => 12
[PASS] test270.c (関数ごとのスコープ（同名ローカル変数）) => 42
[PASS] test271.c (関数ごとのスコープ（同名ローカル変数）) => 15
[PASS] test272.c (関数ごとのスコープ（同名ローカル変数）) => 24
[PASS] test273.c (関数ごとのスコープ（同名ローカル変数）) => 8
[PASS] test274.c (関数ごとのスコープ（同名ローカル変数）) => 55
[PASS] test275.c (グローバル変数とローカル変数の名前衝突) => 5
[PASS] test276.c (グローバル変数とローカル変数の名前衝突) => 100
[PASS] test277.c (グローバル変数とローカル変数の名前衝突) => 13
[PASS] test278.c (グローバル変数とローカル変数の名前衝突) => 42
[PASS] test279.c (グローバル変数とローカル変数の名前衝突) => 7
[PASS] test280.c (グローバル変数とローカル変数の名前衝突) => 50
[PASS] test281.c (グローバル変数とローカル変数の名前衝突) => 11
[PASS] test282.c (グローバル変数とローカル変数の名前衝突) => 20
[PASS] test283.c (グローバル変数とローカル変数の名前衝突) => 33
[PASS] test284.c (ブロックスコープ（外側参照 / スタック再利用 / ネスト）) => 42
[PASS] test285.c (ブロックスコープ（外側参照 / スタック再利用 / ネスト）) => 3
[PASS] test286.c (ブロックスコープ（外側参照 / スタック再利用 / ネスト）) => 9
[PASS] test287.c (ブロックスコープ（外側参照 / スタック再利用 / ネスト）) => 5
[PASS] test288.c (ブロックスコープ（外側参照 / スタック再利用 / ネスト）) => 10
[PASS] test289.c (ブロックスコープ（外側参照 / スタック再利用 / ネスト）) => 15
[PASS] test290.c (ブロックスコープ（外側参照 / スタック再利用 / ネスト）) => 5
[PASS] test291.c (シャドーイング（値の独立性）) => 3
[PASS] test292.c (シャドーイング（値の独立性）) => 100
[PASS] test293.c (シャドーイング（値の独立性）) => 13
[PASS] test294.c (シャドーイング（値の独立性）) => 21
[PASS] test295.c (シャドーイング（値の独立性）) => 9
[PASS] test296.c (シャドーイング（値の独立性）) => 42
[PASS] test297.c (シャドーイング（値の独立性）) => 12
[PASS] test298.c (シャドーイング（値の独立性）) => 10
[PASS] test299.c (シャドーイング（値の独立性）) => 15
[PASS] test300.c (シャドーイング（値の独立性）) => 7
[PASS] test301.c (ブロック内 return / ブロック外 return) => 42
[PASS] test302.c (ブロック内 return / ブロック外 return) => 7
[PASS] test303.c (ブロック内 return / ブロック外 return) => 10
[PASS] test304.c (ブロック内 return / ブロック外 return) => 2
[PASS] test305.c (ブロック内 return / ブロック外 return) => 5
[PASS] test306.c (ブロック内 return / ブロック外 return) => 5
[PASS] test307.c (ブロック内 return / ブロック外 return) => 10
